Province,District,Commune Eng,Village ENG,District KH,Commune KH,Village,Code_District,Code Commune,Code Village,Province KH,Province Cod,Vil Lat,Vil Long,Dist Lat,Dist Long
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Ruessei Kraok,?????????,??????????,??????????,102,10209,1020916,?????????????????,1,13.5418449,103.0251012,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,Chumteav,?????????,??????????,?????,102,10209,1020917,?????????????????,1,13.52553448,103.0196937,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Sambuor,Chhnaeum Meas,?????????,?????,????????,102,10210,1021001,?????????????????,1,13.47883362,103.1779997,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Sambuor,Sranal,?????????,?????,??????,102,10210,1021002,?????????????????,1,13.47613565,103.1798672,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Sambuor,La,?????????,?????,?,102,10210,1021003,?????????????????,1,13.47345103,103.1835816,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Sambuor,Ta Meaeng Pok,?????????,?????,???????,102,10210,1021004,?????????????????,1,13.47439482,103.1891157,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Sambuor,Sambuor,?????????,?????,?????,102,10210,1021005,?????????????????,1,13.46542325,103.1984183,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Sambuor,Doun Loek,?????????,?????,??????,102,10210,1021006,?????????????????,1,13.45476151,103.2243553,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Sambuor,Kbal Krabei,?????????,?????,??????????,102,10210,1021007,?????????????????,1,13.45117231,103.2280756,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Sambuor,Srah Chhuk,?????????,?????,???????,102,10210,1021008,?????????????????,1,13.45210211,103.2317627,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Sambuor,Srae Prey,?????????,?????,????????,102,10210,1021009,?????????????????,1,13.45123717,103.2373098,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Sambuor,Chaek Angkar,?????????,?????,????????,102,10210,1021010,?????????????????,1,13.42780228,103.2467149,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Sambuor,Thma Dab,?????????,?????,??????,102,10210,1021011,?????????????????,1,13.4159882,103.2375672,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Soea,Ta Mau,?????????,??,?????,102,10211,1021101,?????????????????,1,13.37059093,102.9302223,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Soea,Ansam Chek,?????????,??,????????,102,10211,1021102,?????????????????,1,13.37206165,102.9277268,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Soea,Tnaot,?????????,??,?????,102,10211,1021103,?????????????????,1,13.37578248,102.9307318,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Soea,Buor,?????????,??,???,102,10211,1021104,?????????????????,1,13.38351545,102.9325857,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Soea,Bos Laok,?????????,??,????????,102,10211,1021105,?????????????????,1,13.38903483,102.9345048,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Soea,Soea,?????????,??,??,102,10211,1021106,?????????????????,1,13.39466069,102.9284566,13.54167,103.025
